                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.7012,                 1.5786,                  2.259,                0.78663,                 0.7541,                0.85442,                0.53118,                 1.4267,                 1.3712,                 2.0931,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.6989,                 1.6282,                 2.2621,                0.86449,                0.67662,                0.82863,                 0.5134,                 1.3147,                 1.4268,                 2.0085,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.5648,                 1.4934,                 2.1976,                0.81601,                0.72727,                0.86523,                0.54943,                  1.297,                 1.4025,                 2.0084,                0.00101,                0.00101,                0.00101
                     53,                 1.6413,                 1.5406,                 2.2324,                0.71518,                 0.6658,                0.75773,                0.45544,                 1.3719,                 1.4263,                 2.0747,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.6051,                 1.5017,                 2.1857,                0.73393,                0.60601,                0.77395,                0.52445,                 1.2476,                 1.3949,                 1.9471,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.5653,                 1.4506,                 2.1373,                0.85489,                0.75875,                0.88766,                  0.568,                   1.35,                 1.2753,                  2.018,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.5697,                 1.4778,                 2.1586,                0.86725,                0.78788,                0.91436,                0.59776,                 1.2725,                 1.3099,                 1.9891,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.4672,                 1.4353,                 2.0867,                0.87325,                0.84091,                0.92991,                0.60767,                 1.2358,                 1.2025,                 1.9317,               0.000911,               0.000911,               0.000911
                     58,                  1.478,                 1.3907,                 2.0978,                0.85565,                0.85325,                0.91939,                0.60745,                   1.27,                 1.2288,                 1.9492,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.5082,                 1.4101,                 2.1239,                0.83798,                0.79545,                0.89581,                0.59772,                 1.2549,                  1.263,                 1.9525,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.5134,                  1.463,                 2.0697,                0.84302,                0.85437,                0.91258,                 0.6124,                 1.2498,                 1.2281,                 1.9408,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.4723,                 1.3948,                 2.0854,                0.87149,                0.82199,                0.92178,                0.62592,                 1.1725,                 1.2017,                  1.893,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.4443,                 1.4299,                 2.0624,                0.91381,                 0.8032,                 0.9205,                0.63146,                 1.2319,                 1.2356,                 1.9233,               0.000812,               0.000812,               0.000812
                     63,                 1.4606,                 1.4053,                 2.0588,                0.86332,                0.86364,                0.94517,                0.65041,                  1.181,                 1.1621,                 1.8667,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.4803,                 1.3837,                 2.0348,                0.88775,                0.89874,                0.94693,                0.66443,                 1.1041,                 1.2511,                 1.8095,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.5039,                 1.3644,                 2.0693,                0.83005,                0.81401,                0.91879,                0.61854,                 1.1521,                 1.3007,                 1.8604,              0.0007526,              0.0007526,              0.0007526
                     66,                  1.459,                  1.348,                 2.0378,                0.89959,                0.81453,                0.91214,                0.62354,                 1.1937,                 1.2424,                 1.8495,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.3877,                 1.3572,                 1.9767,                0.87128,                0.85606,                0.92467,                0.63674,                 1.1691,                  1.223,                 1.8238,               0.000713,               0.000713,               0.000713
                     68,                 1.4366,                 1.3428,                 2.0019,                0.89446,                0.85606,                0.92661,                0.64056,                 1.1311,                 1.1228,                 1.8088,              0.0006932,              0.0006932,              0.0006932
                     69,                   1.45,                 1.3072,                  2.026,                0.84994,                0.85817,                0.93692,                0.66738,                 1.0593,                 1.1124,                 1.7491,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.4242,                 1.2902,                 1.9736,                0.92808,                0.87991,                0.95842,                0.69309,                 1.0689,                 1.0538,                 1.7608,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.4448,                 1.3188,                 1.9957,                  0.889,                0.90152,                0.95022,                0.65666,                 1.1631,                 1.0882,                 1.8585,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.3153,                 1.2531,                 1.8967,                0.87015,                  0.863,                0.94627,                0.68844,                 1.0574,                   1.07,                 1.7919,               0.000614,               0.000614,               0.000614
                     73,                 1.3276,                 1.1985,                 1.8887,                0.80336,                0.84091,                0.90866,                0.60429,                 1.1845,                 1.1309,                 1.8649,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.3553,                 1.2392,                 1.9268,                0.85305,                0.81061,                0.92242,                0.66084,                 1.0656,                 1.0887,                  1.768,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.3863,                 1.3007,                 1.9475,                0.86481,                0.87236,                0.94614,                0.70225,                 1.0837,                 1.0607,                 1.7471,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.3737,                 1.2103,                 1.9004,                0.89811,                0.86811,                0.94905,                0.70156,                 1.0774,                 1.0766,                 1.7348,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.3541,                 1.2524,                 1.9549,                 0.8567,                0.87879,                0.94724,                0.69527,                 1.0452,                 1.1715,                 1.7293,               0.000515,               0.000515,               0.000515
                     78,                 1.3131,                  1.242,                 1.8959,                0.90054,                0.89175,                0.97302,                 0.7302,                 1.0106,                 1.0743,                 1.6805,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.3521,                 1.2026,                 1.9484,                0.89499,                0.90391,                0.97312,                0.72975,                 1.0181,                0.99642,                 1.6949,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.3218,                 1.2324,                 1.9204,                0.89314,                0.88648,                0.96703,                0.73608,                  0.983,                 0.9359,                 1.6657,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.2526,                 1.1395,                 1.8295,                0.91386,                 0.8841,                0.96546,                0.73765,                0.93368,                0.93033,                 1.6262,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.3435,                 1.1814,                 1.9074,                0.88826,                0.90339,                0.96297,                0.71636,                 0.9629,                0.93435,                 1.6501,               0.000416,               0.000416,               0.000416
                     83,                 1.2669,                 1.1404,                 1.8273,                0.92527,                0.93805,                0.97391,                0.73728,                0.95662,                0.87806,                  1.622,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.2873,                 1.1971,                 1.8377,                0.94036,                0.95562,                0.98308,                0.75343,                0.94754,                0.86908,                 1.6088,              0.0003764,              0.0003764,              0.0003764
